Accession	Description	Coverage.in.Percent	Number.of.Peptides	Number.of.PSMs	Number.of.Unique.Peptides	log2FC_t3	log2FC_t6	log2FC_t12	log2FC_t24	log2FC_t48	Abundance.Ratio.3..0	Abundance.Ratio.6..0	Abundance.Ratio.12..0	Abundance.Ratio.24..0	Abundance.Ratio.48..0	Abundance.Ratio.log2.3..0	Abundance.Ratio.log2.6..0	Abundance.Ratio.log2.12..0	Abundance.Ratio.log2.24..0	Abundance.Ratio.log2.48..0	Abundance.Ratio.P.Value.3..0	Abundance.Ratio.P.Value.6..0	Abundance.Ratio.P.Value.12..0	Abundance.Ratio.P.Value.24..0	Abundance.Ratio.P.Value.48..0	Abundance.Ratio.Adj.P.Value.3..0	Abundance.Ratio.Adj.P.Value.6..0	Abundance.Ratio.Adj.P.Value.12..0	Abundance.Ratio.Adj.P.Value.24..0	Abundance.Ratio.Adj.P.Value.48..0	Abundance.Ratio.Variability.in.Percent.3..0	Abundance.Ratio.Variability.in.Percent.6..0	Abundance.Ratio.Variability.in.Percent.12..0	Abundance.Ratio.Variability.in.Percent.24..0	Abundance.Ratio.Variability.in.Percent.48..0	Biological.Process	Cellular.Component	Molecular.Function	Pfam.IDs	Entrez.Gene.ID	Ensembl.Gene.ID	Gene.Symbol	Chromosome	KEGG.Pathways	Reactome.Pathways	WikiPathways	Number.of.Protein.Pathway.Groups	Number.of.AAs	MW.in.kDa	calc.pI	Score.Sequest.HT.Sequest.HT	Modifications
P15514	Amphiregulin|AREG	13	3	7	3	-0.035046947	-0.115597447	-0.666576266	-1.123433941	-1.164884385	0.976	0.923	0.63	0.459	0.446	-0.03	-0.12	-0.67	-1.12	-1.17	0.778139956	0.152698054	0.049596343	0.125752928	0.036099601	0.968647718	0.643027954	0.385231005	0.319782924	0.187151614	7.79	7.19	15.31	32.67	35.48	cell communication;cell organization and biogenesis;cell proliferation;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;membrane;nucleus	protein binding		374	ENSG00000109321.10	AREG	4	Hippo signaling pathway; ErbB signaling pathway	Cargo concentration in the ER; COPII (Coat Protein 2) Mediated Vesicle Transport	Follicle Stimulating Hormone (FSH) signaling pathway; Development and heterogeneity of the ILC family; ErbB Signaling Pathway	14	252	27.9	7.4	18.46	
Q9NPD8	Ubiquitin-conjugating enzyme E2 T|UBE2T	32	6	18	6	-0.131313235	-0.190997225	-0.382701517	-0.729770093	-0.899695094	0.913	0.876	0.767	0.603	0.536	-0.13	-0.19	-0.38	-0.73	-0.9	0.066414056	0.159648774	0.000765783	0.003503808	0.019893372	0.910937563	0.648668023	0.221684297	0.133724772	0.159887701	5.06	4.74	1.44	4.79	16.03	metabolic process;response to stimulus	cytoplasm;nucleus	catalytic activity;nucleotide binding;protein binding	"Pf00179, Pf14461"	29089	ENSG00000077152.9	UBE2T	1	Fanconi anemia pathway	Synthesis of active ubiquitin: roles of E1 and E2 enzymes; Fanconi Anemia Pathway	Gastric cancer network 2	8	197	22.5	7.99	62.08	
Q86YZ3	Hornerin|HRNR	4	2	12	2	0.872631791	0.829443681	0.427606173	0.684369929	1.18142064	1.831	1.777	1.345	1.607	2.268	0.87	0.83	0.43	0.68	1.18	0.13412184	0.005423371	0.190968942	0.074018116	0.005873295	0.910937563	0.48932813	0.534795205	0.258836912	0.138677723	28.3	4.44	31.41	7.24	9.49	cell organization and biogenesis;development;transport	cytoplasm;cytoskeleton;extracellular;nucleus;organelle lumen	metal ion binding		388697	ENSG00000197915.5	HRNR	1		Neutrophil degranulation		3	2850	282.2	10.04	28.31	
P62328	Thymosin beta-4|TMSB4X	84	9	366	7	0.183962835	-0.12973393	-0.110915901	-0.805912948	-1.03209363	1.136	0.914	0.926	0.572	0.489	0.18	-0.13	-0.11	-0.81	-1.03	0.950065078	0.787346446	0.298511077	0.098725441	0.028595889	0.992613394	0.933574931	0.61733558	0.291833219	0.173467913	12.27	56.08	4.09	15.67	28.94	cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus;organelle lumen	catalytic activity;metal ion binding;nucleotide binding;protein binding;RNA binding;structural molecule activity	Pf01290	7114	ENSG00000205542.10	TMSB4X	X	Regulation of actin cytoskeleton	Platelet degranulation	TarBasePathway; Regulation of Actin Cytoskeleton	7	44	5.1	5.06	1191.5	Met-loss+Acetyl [N-Term]
P61513	60S ribosomal protein L37a|RPL37A	59	6	83	6	-0.001443417	0.038436182	-0.030619235	-0.274040765	-0.579921884	0.999	1.027	0.979	0.827	0.669	0	0.04	-0.03	-0.27	-0.58	0.866793389	0.130000801	0.277335473	0.050928964	0.002483636	0.978814878	0.622425306	0.602161238	0.229402993	0.129491316	3.51	1.1	1.25	5.69	4.44	cell organization and biogenesis;metabolic process;transport	cytosol;nucleus;ribosome	metal ion binding;protein binding;RNA binding;structural molecule activity	Pf01780	6168	ENSG00000197756.9	RPL37A	2	Ribosome	Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane	Cytoplasmic Ribosomal Proteins	34	92	10.3	10.43	315.36	
P19971	Thymidine phosphorylase|TYMP	24	9	16	9	0.133563526	0.175045486	0.163498732	0.609754962	0.481298942	1.097	1.129	1.12	1.526	1.396	0.13	0.18	0.16	0.61	0.48	0.018234084	0.217111773	0.103442229	0.045490926	0.125994926	0.910937563	0.684991798	0.462392732	0.220060026	0.301354126	0.31	14.48	2.06	22.25	28.54	cell differentiation;cell organization and biogenesis;cellular homeostasis;development;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;membrane;mitochondrion;organelle lumen	catalytic activity;metal ion binding;protein binding	"Pf00591, Pf02885, Pf07831"	1890; 9997	ENSG00000025708.13	TYMP	22	Bladder cancer; Metabolic pathways; Pyrimidine metabolism; Drug metabolism - other enzymes	Pyrimidine salvage; Pyrimidine catabolism	Fluoropyrimidine Activity; Bladder Cancer	12	482	49.9	5.53	54.31	
O43257	Zinc finger HIT domain-containing protein 1|ZNHIT1	10	2	5	2	-0.007231569	-0.15682011	-0.347398782	-0.351074441	-0.59946207	0.995	0.897	0.786	0.784	0.66	-0.01	-0.16	-0.35	-0.35	-0.6	0.411915651	0.03302283	0.136622342	0.01983283	0.043608598	0.910937563	0.561465265	0.490981171	0.176810475	0.199925186	0.42	0.65	24.28	2.77	2.7	cell organization and biogenesis;regulation of biological process	nucleus	metal ion binding;protein binding	Pf04438	10467	ENSG00000106400.11	ZNHIT1	7				0	154	17.5	9.41	8.89	
Q8N138	ORM1-like protein 3|ORMDL3	22	3	20	3	-0.087733372	0.004321606	-0.131313235	-0.329159664	-0.537424112	0.941	1.003	0.913	0.796	0.689	-0.09	0	-0.13	-0.33	-0.54	0.067333204	0.922781604	0.030080447	0.053942772	0.003087955	0.910937563	0.974814954	0.353951185	0.232224763	0.129491316	1.17	7.67	3.21	3.53	2.99	cellular homeostasis;metabolic process;regulation of biological process;transport	endoplasmic reticulum;membrane	protein binding	Pf04061	94103	ENSG00000172057.9	ORMDL3	17		Neutrophil degranulation; Sphingolipid de novo biosynthesis		7	153	17.5	9.64	67.54	Acetyl [N-Term]
Q16270	Insulin-like growth factor-binding protein 7|IGFBP7	5	1	3	1	-0.077041036	-0.075520008	0.027154052	-0.418889825	-0.619270551	0.948	0.949	1.019	0.748	0.651	-0.08	-0.08	0.03	-0.42	-0.62	0.17070994	0.27131136	0.842698904	0.05595962	0.005050399	0.910937563	0.724516417	0.928616096	0.233758457	0.138329398	1.76	8.56	0.26	13.78	2.36	metabolic process;regulation of biological process;response to stimulus	extracellular;organelle lumen	protein binding	"Pf07648, Pf07679"	3490	ENSG00000163453.11	IGFBP7	4		Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Senescence-Associated Secretory Phenotype (SASP)	Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway; VEGFA-VEGFR2 Signaling Pathway; Senescence and Autophagy in Cancer	11	282	29.1	7.9	11.66	
O43294	Transforming growth factor beta-1-induced transcript 1 protein|TGFB1I1	6	2	8	2	-0.008682243	-0.115597447	-0.254977851	-0.54793177	-0.60164963	0.994	0.923	0.838	0.684	0.659	-0.01	-0.12	-0.25	-0.55	-0.6	0.583861751	0.223430748	0.025035372	0.039145299	0.003797067	0.920427321	0.693482733	0.344666729	0.209984949	0.129491316	0	7.85	1.4	13.45	3.15	cell differentiation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;nucleus	metal ion binding;protein binding	Pf00412	7041	ENSG00000140682.18	TGFB1I1	16			Androgen receptor signaling pathway; Serotonin Transporter Activity; TGF-beta Signaling Pathway; Monoamine Transport	4	461	49.8	7.03	27.15	
Q9UQL6	Histone deacetylase 5|HDAC5	2	2	5	2	-0.015957574	-0.045431429	0.014355293	0.252173413	0.455228571	0.989	0.969	1.01	1.191	1.371	-0.02	-0.05	0.01	0.25	0.46	0.225031824	0.186179524	0.580444954	0.051236443	0.006201037	0.910937563	0.669285438	0.789898844	0.229439684	0.140050306	0.17	2.43	5.99	7.87	1.48	cell differentiation;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;Golgi;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding	Pf00850	10014	ENSG00000108840.15	HDAC5	17	Viral carcinogenesis; Epstein-Barr virus infection; Alcoholism	NOTCH1 Intracellular Domain Regulates Transcription; Regulation of PTEN gene transcription; Constitutive Signaling by NOTCH1 PEST Domain Mutants; Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	MicroRNAs in cardiomyocyte hypertrophy; Cell Cycle; Cell Differentiation - Index; Neural Crest Differentiation; Cardiac Hypertrophic Response; Initiation of transcription and translation elongation at the HIV-1 LTR; VEGFA-VEGFR2 Signaling Pathway	25	1122	121.9	6.24	12.9	
P04792	Heat shock protein beta-1|HSPB1	59	12	151	12	0.018634174	-0.118726939	-0.131313235	-0.360304767	-0.522840789	1.013	0.921	0.913	0.779	0.696	0.02	-0.12	-0.13	-0.36	-0.52	0.580131905	0.521486653	0.266912361	0.144736568	0.048215256	0.920427321	0.824133329	0.592286304	0.342364294	0.20652322	6.3	27.1	8.96	13.94	15	cellular component movement;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane;nucleus;proteasome	enzyme regulator activity;protein binding;RNA binding	Pf00011	3315	ENSG00000106211.8	HSPB1	7	Amoebiasis; Epstein-Barr virus infection; VEGF signaling pathway; MAPK signaling pathway	AUF1 (hnRNP D0) binds and destabilizes mRNA; VEGFA-VEGFR2 Pathway; MAPK6/MAPK4 signaling	Apoptosis-related network due to altered Notch3 in ovarian cancer; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; MAPK Signaling Pathway; ATM Signaling Network in Development and Disease; VEGFA-VEGFR2 Signaling Pathway; p38 MAPK Signaling Pathway	19	205	22.8	6.4	586.08	
Q8IZK6	Mucolipin-2|MCOLN2	1	1	23	1	-0.008682243	0.136191386	0.059355278	0.510961919	0.675364313	0.994	1.099	1.042	1.425	1.597	-0.01	0.14	0.06	0.51	0.68	0.4455313	0.076689445	0.565852304	0.04909745	0.112546698	0.910937563	0.605210564	0.77910363	0.225049497	0.285298765	2.99	0.79	0.01	15.14	3.01	cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport	endosome;membrane;vacuole	transporter activity	"Pf00520, Pf08016"	255231	ENSG00000153898.12	MCOLN2	1		TRP channels		4	566	65.9	7.61	65.34	
O95997	Securin|PTTG1	11	2	4	2	-0.270555993	-0.64385619	-1.177881725	-1.694321257	-2.158429363	0.829	0.64	0.442	0.309	0.224	-0.27	-0.64	-1.18	-1.69	-2.16	0.003235895	0.031427051	0.002250093	0.016470921	0.016719544	0.780638586	0.561465265	0.250999451	0.169092296	0.155849059	2.32	1.54	7.49	35.65	2.23	cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	enzyme regulator activity;protein binding	Pf04856	9232	ENSG00000164611.12	PTTG1	5	HTLV-I infection; Oocyte meiosis; Cell cycle	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Separation of Sister Chromatids; APC/C:Cdc20 mediated degradation of Securin	Cell Cycle	16	202	22	6.6	14.17	
O15243	Leptin receptor gene-related protein|LEPROT	11	2	12	2	-0.078563669	-0.179514657	-0.234465254	-0.215914857	-0.475936324	0.947	0.883	0.85	0.861	0.719	-0.08	-0.18	-0.23	-0.22	-0.48	0.104643147	0.357484417	0.112750528	0.006135816	0.009044994	0.910937563	0.758509454	0.474835014	0.154062622	0.146787628	2.59	2.69	5.5	0.1	6.43	regulation of biological process;transport	endosome;Golgi;membrane	protein binding	Pf04133	54741	ENSG00000213625.8	LEPROT	1				0	131	14.2	6.51	47.72	
P10276	Retinoic acid receptor alpha|RARA	2	1	4	1	0.269033146	0.32308179	-0.070966521	-0.994240731	-1.035046947	1.205	1.251	0.952	0.502	0.488	0.27	0.32	-0.07	-0.99	-1.04	0.087096055	0.057492251	0.051922817	0.108921714	0.046065131	0.910937563	0.588943895	0.386809836	0.302754505	0.203169648	1.52	3.46	2.56	13	34.89	cell differentiation;metabolic process;regulation of biological process;response to stimulus;transport	cell surface;cytoplasm;cytoskeleton;cytosol;nucleus	DNA binding;metal ion binding;protein binding;receptor activity;RNA binding;signal transducer activity;translation regulator activity	"Pf00104, Pf00105"	5914	ENSG00000131759.17	RARA	17	Acute myeloid leukemia; Pathways in cancer; Transcriptional misregulation in cancer	Activation of anterior HOX genes in hindbrain development during early embryogenesis; Nuclear Receptor transcription pathway; Signaling by Retinoic Acid	Nuclear Receptors; Adipogenesis; Nuclear Receptors in Lipid Metabolism and Toxicity; Wnt/beta-catenin Signaling Pathway in Leukemia; White fat cell differentiation; Vitamin A and Carotenoid Metabolism	19	462	50.7	7.9	14.58	
Q92520	Protein FAM3C|FAM3C	56	11	156	11	-0.17625064	-0.195946441	-0.288064643	-0.53951953	-0.588573754	0.885	0.873	0.819	0.688	0.665	-0.18	-0.2	-0.29	-0.54	-0.59	0.041675679	0.005009949	0.021876647	0.015188289	0.011768138	0.910937563	0.48932813	0.33630317	0.169092296	0.149547898	3.46	2.27	5.15	1.87	0.68	cell differentiation;cell organization and biogenesis;cell proliferation;development;regulation of biological process;response to stimulus;transport	cytoplasm;extracellular;organelle lumen	protein binding		10447; 51384	ENSG00000196937.10	FAM3C	7		Platelet degranulation	Wnt Signaling Pathway and Pluripotency; Wnt Signaling Pathway; DNA Damage Response (only ATM dependent)	7	227	24.7	8.29	543.2	
P41567	Eukaryotic translation initiation factor 1|EIF1	50	5	40	5	0.209141398	0.164786278	0.037030731	-0.314732593	-0.479954976	1.156	1.121	1.026	0.804	0.717	0.21	0.16	0.04	-0.32	-0.48	0.014900394	0.083365443	0.44044376	0.04583497	0.051162332	0.866620876	0.610623177	0.704562051	0.220060026	0.211477649	2.7	4.05	0.89	4.06	9.74	metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	protein binding;RNA binding	Pf01253	10209	ENSG00000173812.10	EIF1	17	RNA transport		Translation Factors	2	113	12.7	7.44	203.82	
P06493	Cyclin-dependent kinase 1|CDK1	45	14	219	12	-0.024736678	0.005759269	-0.171368418	-0.329159664	-0.461958547	0.983	1.004	0.888	0.796	0.726	-0.03	0.01	-0.17	-0.33	-0.46	0.053398034	0.930909459	0.061445073	0.014329933	0.049933817	0.910937563	0.977078738	0.404239163	0.168579902	0.209321985	0.46	7.98	1.15	3.6	4.12	cell death;cell differentiation;cell division;cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus;organelle lumen	catalytic activity;nucleotide binding;protein binding;receptor activity	"Pf00069, Pf01636, Pf07714, Pf14531"	983	ENSG00000170312.15	CDK1	10	Viral carcinogenesis; Epstein-Barr virus infection; Progesterone-mediated oocyte maturation; Gap junction; p53 signaling pathway; Oocyte meiosis; Herpes simplex infection; Cell cycle	"Regulation of PLK1 Activity at G2/M Transition; TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest; Recruitment of NuMA to mitotic centrosomes; Ovarian tumor domain proteases; Loss of Nlp from mitotic centrosomes; Activation of E2F1 target genes at G1/S; MASTL Facilitates Mitotic Progression; Golgi Cisternae Pericentriolar Stack Reorganization; Activation of NIMA Kinases NEK9, NEK6, NEK7; The role of GTSE1 in G2/M progression after G2 checkpoint; Nuclear Pore Complex (NPC) Disassembly; Transcriptional regulation by RUNX2; Interleukin-20 family signaling; APC/C:Cdc20 mediated degradation of Cyclin B; G2/M DNA replication checkpoint; Condensation of Prometaphase Chromosomes; Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Regulation of TP53 Degradation; Phosphorylation of Emi1; MAPK3 (ERK1) activation; Recruitment of mitotic centrosome proteins and complexes; Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes; E2F-enabled inhibition of pre-replication complex formation; Phosphorylation of the APC/C; Depolymerisation of the Nuclear Lamina; Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1; Resolution of Sister Chromatid Cohesion; Condensation of Prophase Chromosomes; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; MAPK6/MAPK4 signaling"	miRNA Regulation of DNA Damage Response; Cell Cycle; Regulation of Microtubule Cytoskeleton; Spinal Cord Injury; Retinoblastoma (RB) in Cancer; ATM Signaling Pathway; PPAR Alpha Pathway; TGF-beta Signaling Pathway; ATM Signaling Network in Development and Disease; G1 to S cell cycle control; DNA Damage Response	95	297	34.1	8.4	826.62	
Q12834	Cell division cycle protein 20 homolog|CDC20	11	5	13	5	-0.118726939	-0.15682011	-0.2968993	-0.671163536	-0.870387262	0.921	0.897	0.814	0.628	0.547	-0.12	-0.16	-0.3	-0.67	-0.87	0.067877988	0.062009133	0.019586088	0.045661273	0.052446503	0.910937563	0.597034704	0.327705064	0.220060026	0.212413351	3.11	4.32	5.45	18.58	16.68	cell differentiation;cell division;cell organization and biogenesis;metabolic process;regulation of biological process	cytoplasm;cytoskeleton;cytosol	enzyme regulator activity;protein binding	Pf00400	991	ENSG00000117399.13	CDC20	1	Viral carcinogenesis; Ubiquitin mediated proteolysis; HTLV-I infection; Oocyte meiosis; Cell cycle	Inactivation of APC/C via direct inhibition of the APC/C complex; APC/C:Cdc20 mediated degradation of Cyclin B; Ub-specific processing proteases; Phosphorylation of Emi1; APC-Cdc20 mediated degradation of Nek2A; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Antigen processing: Ubiquitination & Proteasome degradation; APC/C:Cdc20 mediated degradation of Securin; SCF-beta-TrCP mediated degradation of Emi1; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase; RHO GTPases Activate Formins; Cdc20:Phospho-APC/C mediated degradation of Cyclin A	Cell Cycle	46	499	54.7	9.23	42.92	
A0JNW5	UHRF1-binding protein 1-like|UHRF1BP1L	2	3	6	2	0.071762669	-0.10780329	0.03562391	-0.263611599	-0.502259911	1.051	0.928	1.025	0.833	0.706	0.07	-0.11	0.04	-0.26	-0.5	0.674501728	0.12369628	0.663206422	0.049497824	0.03677509	0.942750567	0.622425306	0.83554425	0.22590301	0.188459967	0.55	6.12	1.65	4.31	7.62				Pf12624	23074	ENSG00000111647.12	UHRF1BP1L	12				0	1464	164.1	6.32	16.61	
P0DTC8	ORF8 protein|8	31	4	56	4	-0.30222618	0.299830762	1.589284107	2.674912553	2.938285792	0.811	1.231	3.009	6.386	7.665	-0.3	0.3	1.59	2.67	2.94	0.470787384	0.004732793	0.009803865	0.003069724	0.002003406	0.910937563	0.48932813	0.302593431	0.133724772	0.129491316	7.54	0.92	22.16	16.6	6.61							8					0	121	13.8	5.73	205.59	
Q9BYX4	Interferon-induced helicase C domain-containing protein 1|IFIH1	8	8	13	8	-0.057391664	0.045442971	0.486456956	0.754459974	0.613531653	0.961	1.032	1.401	1.687	1.53	-0.06	0.05	0.49	0.75	0.61	0.345530546	0.285053624	0.01037218	0.021501633	0.023157755	0.910937563	0.730729658	0.302593431	0.180847929	0.164324737	3.98	0.61	8.59	7.38	10.97	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding;RNA binding	"Pf00270, Pf00271, Pf00619, Pf04851, Pf11648"	64135	ENSG00000115267.5	IFIH1	2	Hepatitis B; Measles; Herpes simplex infection; RIG-I-like receptor signaling pathway; Influenza A	Ovarian tumor domain proteases; Ub-specific processing proteases; TRAF3-dependent IRF activation pathway; NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10; Negative regulators of DDX58/IFIH1 signaling; TRAF6 mediated NF-kB activation; TRAF6 mediated IRF7 activation	RIG-I-like Receptor Signaling	19	1025	116.6	5.52	46.35	
Q13443	Disintegrin and metalloproteinase domain-containing protein 9|ADAM9	38	26	232	26	-0.086201035	-0.18606493	-0.418889825	-0.567040593	-0.729770093	0.942	0.879	0.748	0.675	0.603	-0.09	-0.19	-0.42	-0.57	-0.73	0.241584303	0.005922102	0.001293312	0.001407861	0.00575835	0.910937563	0.489697894	0.250999451	0.129711934	0.138329398	0.25	0.87	2.47	2.7	5.33	cell differentiation;cellular component movement;metabolic process;regulation of biological process;response to stimulus	cell surface;extracellular;membrane	catalytic activity;metal ion binding;protein binding	"Pf00200, Pf01421, Pf01562, Pf08516, Pf13574, Pf13582, Pf13583, Pf13688"	8754	ENSG00000168615.11	ADAM9	8		Collagen degradation	Copper homeostasis	4	819	90.5	7.52	859.4	
P16949	Stathmin|STMN1	73	16	396	16	-0.043943348	-0.087733372	-0.179514657	-0.395928676	-0.488026018	0.97	0.941	0.883	0.76	0.713	-0.04	-0.09	-0.18	-0.4	-0.49	0.113156934	0.029230867	0.000440336	0.005728511	0.011762484	0.910937563	0.561465265	0.21043764	0.152000944	0.149547898	1.11	2.3	0.13	0.45	6.76	cell differentiation;cell organization and biogenesis;development;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane	protein binding;signal transducer activity	"Pf00836, Pf09726"	3925	ENSG00000117632.22	STMN1	1	MicroRNAs in cancer; MAPK signaling pathway		Regulation of Microtubule Cytoskeleton; Retinoblastoma (RB) in Cancer; Rac1/Pak1/p38/MMP-2 pathway; MAPK Signaling Pathway; EGF/EGFR Signaling Pathway	7	149	17.3	5.97	1264.79	
P20591	Interferon-induced GTP-binding protein Mx1|MX1	47	28	169	25	-0.00433459	-0.061902439	0.42867841	0.650764559	0.687956494	0.997	0.958	1.346	1.57	1.611	0	-0.06	0.43	0.65	0.69	0.416985975	0.111970712	0.045743321	0.012685368	0.021418749	0.910937563	0.622425306	0.38193733	0.165834723	0.162382824	0.65	2.44	14.67	4.28	17.55	cell death;cell organization and biogenesis;defense response;regulation of biological process;response to stimulus	cytoplasm;cytosol;endoplasmic reticulum;membrane;nucleus	catalytic activity;nucleotide binding;protein binding	"Pf00350, Pf01031, Pf02212"	4599	ENSG00000157601.13	MX1	21	Measles; Influenza A	Interferon alpha/beta signaling; ISG15 antiviral mechanism		8	662	75.5	5.83	650.3	Met-loss [N-Term]
Q15121	Astrocytic phosphoprotein PEA-15|PEA15	32	5	38	5	-0.017417053	-0.118726939	-0.152003093	-0.446148032	-0.469929258	0.988	0.921	0.9	0.734	0.722	-0.02	-0.12	-0.15	-0.45	-0.47	0.821247722	0.057366107	0.287853646	0.013061978	0.019793183	0.97478919	0.588943895	0.611903175	0.165834723	0.159887701	0.54	2.01	6.61	2.53	0.87	cell death;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;nucleus	protein binding	Pf01335	8682	ENSG00000162734.12	PEA15	1		RAF-independent MAPK1/3 activation; RAF/MAP kinase cascade; Interleukin-20 family signaling	Apoptosis Modulation and Signaling	10	130	15	5.02	120.94	
Q9Y5R8	Trafficking protein particle complex subunit 1|TRAPPC1	38	5	7	5	-0.00433459	-0.049904906	-0.483984853	-0.254977851	-0.420819852	0.997	0.966	0.715	0.838	0.747	0	-0.05	-0.48	-0.26	-0.42	0.997064712	0.641894718	0.007986396	0.606796959	0.393647228	0.999610717	0.999999448	0.349405392	0.839372284	0.650578652	8.11	5.26	0.64	37.69	36.24	cell organization and biogenesis;transport	cytosol;endoplasmic reticulum;extracellular;Golgi;membrane;organelle lumen		Pf04099	58485	ENSG00000170043.11	TRAPPC1	17		Neutrophil degranulation; RAB GEFs exchange GTP for GDP on RABs; COPII (Coat Protein 2) Mediated Vesicle Transport		13	145	16.8	9.16	19.4	
P62273	40S ribosomal protein S29|RPS29	41	4	58	4	0.073134705	0.01720929	-0.205896101	-0.592919225	-0.621488377	1.052	1.012	0.867	0.663	0.65	0.07	0.02	-0.21	-0.59	-0.62	0.938019778	0.794469782	0.066637318	0.006191736	0.070609664	0.99091237	0.936242175	0.417125729	0.154062622	0.232321275	1.24	19.91	9.52	8.28	12.4	cell organization and biogenesis;metabolic process;transport	cytosol;ribosome	metal ion binding;structural molecule activity	Pf00253	6235	ENSG00000213741.9	RPS29	14	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; Formation of the ternary complex, and subsequently, the 43S complex; L13a-mediated translational silencing of Ceruloplasmin expression; Selenocysteine synthesis; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Ribosomal scanning and start codon recognition; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Translation initiation complex formation; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	38	56	6.7	10.13	117.44	
O15460	Prolyl 4-hydroxylase subunit alpha-2|P4HA2	25	12	36	12	0.034215715	-0.084670324	-0.169744676	-0.304006187	-0.465938398	1.024	0.943	0.889	0.81	0.724	0.03	-0.09	-0.17	-0.3	-0.47	0.744362668	0.007207029	0.083448451	0.021266979	0.004319353	0.956998431	0.500187608	0.443970022	0.18056392	0.130333768	3.49	0.63	7.94	3.81	4.04	metabolic process	cytosol;endoplasmic reticulum;organelle lumen	catalytic activity;metal ion binding;protein binding	"Pf03171, Pf08336, Pf13640"	8974	ENSG00000072682.18	P4HA2	5	Metabolic pathways; Arginine and proline metabolism	Collagen biosynthesis and modifying enzymes	Amino Acid metabolism	6	535	60.9	5.71	127.17	
