Protein.Accessions	gene_id	gene_version	gene_name	gene_biotype	gene_source	location	baseMean_3h	log2FoldChange_3h	lfcSE_3h	pvalue_3h	padj_3h	significant_3h	rank_log2_fold_change_3h	rank_base_mean_3h	rank_padj_3h	max_rank_3h	baseMean_6h	log2FoldChange_6h	lfcSE_6h	pvalue_6h	padj_6h	significant_6h	rank_log2_fold_change_6h	rank_base_mean_6h	rank_padj_6h	max_rank_6h	baseMean_12h	log2FoldChange_12h	lfcSE_12h	pvalue_12h	padj_12h	significant_12h	rank_log2_fold_change_12h	rank_base_mean_12h	rank_padj_12h	max_rank_12h	baseMean_24h	log2FoldChange_24h	lfcSE_24h	pvalue_24h	padj_24h	significant_24h	rank_log2_fold_change_24h	rank_base_mean_24h	rank_padj_24h	max_rank_24h	baseMean_48h	log2FoldChange_48h	lfcSE_48h	pvalue_48h	padj_48h	significant_48h	rank_log2_fold_change_48h	rank_base_mean_48h	rank_padj_48h	max_rank_48h
Q8N4Z0	ENSG00000188060	7	RAB42	protein_coding	ensembl_havana	chr1:28592200-28595443:+	67.40890681	-1.229428645	0.180457685	1.06E-13	7.46E-13	yes	637	11032	2527	11032	67.40890681	-1.513778452	0.191559769	6.21E-17	5.10E-16	yes	625	11032	3167	11032	67.40890681	-0.676415556	0.160241532	4.56E-06	1.46E-05	yes	3656	11032	6183	11032	67.40890681	1.821280879	0.187938839	5.25E-24	4.14E-23	yes	924	11032	2157	11032	67.40890681	1.726492845	0.174027585	1.89E-24	1.58E-23	yes	1151	11032	2542	11032
Q0VG99	ENSG00000188095	6	MESP2	protein_coding	ensembl_havana	chr15:89760591-89778754:+	3.630596742	-0.443039722	0.368889714	0.049823165	0.079874967	yes	5270	17691	10616	17691	3.630596742	-1.477326042	0.586960589	0.000119475	0.000177484	yes	683	17691	7553	17691	3.630596742	-1.182086154	0.539797575	0.00056345	0.000867239	yes	1083	17691	7723	17691	3.630596742	-0.71769751	0.773945343	0.077321387	0.119451893	no	6819	17691	11563	17691	3.630596742	-0.377524071	0.590035613	0.367972207	0.393692565	no	13630	17691	16006	17691
Q6T4R5	ENSG00000188158	15	NHS	protein_coding	ensembl_havana	chrX:17375420-17735994:+	653.6866794	0.331231138	0.059279021	1.08E-08	7.18E-08	yes	7547	3224	3913	7547	653.6866794	0.506316857	0.059103025	4.92E-18	7.66E-17	yes	6878	3224	3050	6878	653.6866794	0.277766169	0.05988325	2.79E-06	2.43E-05	yes	11436	3224	6340	11436	653.6866794	2.611976903	0.067996755	0	0	yes	358	3224	1	3224	653.6866794	1.254251057	0.078945477	1.83E-57	8.98E-56	yes	2728	3224	1102	3224
Q6ZT21	ENSG00000188167	9	TMPPE	protein_coding	ensembl_havana	chr3:33090421-33097146:-	29.93676747	0.906308158	0.206303196	5.39E-07	2.30E-06	yes	1404	12847	4632	12847	29.93676747	1.282170837	0.202104064	9.63E-12	3.61E-11	yes	1061	12847	4306	12847	29.93676747	1.618582311	0.198747732	8.50E-18	5.73E-17	yes	428	12847	2655	12847	29.93676747	0.552485908	0.360802164	0.08136915	0.115973635	no	9366	12847	11506	12847	29.93676747	-0.113757539	0.39648936	0.741958443	0.667731725	no	22095	12847	19782	22095
P61129	ENSG00000188177	14	ZC3H6	protein_coding	ensembl_havana	chr2:112275597-112340063:+	136.0181522	-0.919491384	0.099670544	1.81E-21	2.80E-20	yes	1364	8981	1560	8981	136.0181522	-2.114167142	0.122136129	4.23E-70	1.86E-68	yes	202	8981	596	8981	136.0181522	-2.188345326	0.123343697	5.93E-73	5.74E-71	yes	132	8981	392	8981	136.0181522	0.021125723	0.155457932	0.889494598	1	no	33918	8981	21743	33918	136.0181522	0.709655323	0.121738455	3.57E-09	2.33E-08	yes	7673	8981	5346	8981
A6NNL0	ENSG00000188199	10	NUTM2B	protein_coding	ensembl_havana	chr10:79703227-79714681:+	18.30766921	1.563494009	0.264021571	9.14E-12	5.33E-11	yes	332	13869	2917	13869	18.30766921	0.749098086	0.258101283	0.000689227	0.001177045	yes	3784	13869	8444	13869	18.30766921	0.187374119	0.242248581	0.358600619	0.360428824	no	14751	13869	15873	15873	18.30766921	0.476944168	0.431055111	0.180984748	0.208712666	no	10783	13869	12856	13869	18.30766921	0.807959509	0.380327496	0.015861451	0.02115208	yes	6412	13869	10118	13869
Q8IWE4	ENSG00000188215	10	DCUN1D3	protein_coding	ensembl_havana	chr16:20854925-20900358:-	239.1441339	0.540877132	0.089143582	2.35E-10	1.84E-09	yes	3954	6946	3347	6946	239.1441339	0.567451731	0.089112686	7.20E-11	7.14E-10	yes	5867	6946	4675	6946	239.1441339	0.483304288	0.089121791	2.76E-08	1.40E-07	yes	6342	6946	5047	6946	239.1441339	2.191497088	0.114393918	3.28E-84	1.41E-82	yes	567	6946	585	6946	239.1441339	1.976308279	0.109328706	1.09E-74	4.82E-73	yes	747	6946	789	6946
Q96P64	ENSG00000188234	13	AGAP4	protein_coding	ensembl_havana	chr10:45825594-45853875:-	29.89431001	-0.021197866	0.193783326	0.894041355	0.901959654	no	24258	12854	19617	24258	29.89431001	-0.01881844	0.211554613	0.920194897	0.679639022	no	27472	12854	19413	27472	29.89431001	-0.015095467	0.209782326	0.934920371	0.844291436	no	27754	12854	20090	27754	29.89431001	2.241731175	0.281241356	5.43E-18	2.82E-17	yes	527	12854	2693	12854	29.89431001	0.59751221	0.329305297	0.046327324	0.070920547	yes	9300	12854	11630	12854
Q6ZNE9	ENSG00000188282	12	RUFY4	protein_coding	ensembl_havana	chr2:218034960-218090581:+	2.192760125	0.032108793	0.425699518	0.848624135	0.702108856	no	22559	19076	18036	22559	2.192760125	-0.345625273	0.638128475	0.140790288	0.122866114	no	10381	19076	13020	19076	2.192760125	-0.48619377	0.693865308	0.033480492	0.03711804	yes	6294	19076	10722	19076	2.192760125	1.583356172	1.013322807	0.002083056	0.004629317	yes	1325	19076	8038	19076	2.192760125	0.778054016	0.775894744	0.068230063	0.082392447	yes	6793	19076	11856	19076
Q96BR6	ENSG00000188295	14	ZNF669	protein_coding	ensembl_havana	chr1:247099962-247104372:-	54.90955912	0.176855248	0.145578657	0.171749027	0.23799528	no	12922	11498	12994	12994	54.90955912	0.038718943	0.153433008	0.787435935	1	no	23401	11498	20364	23401	54.90955912	0.113573926	0.152211728	0.425871258	0.448982336	no	18213	11498	16939	18213	54.90955912	1.510872774	0.220605943	4.53E-13	2.44E-12	yes	1517	11498	3472	11498	54.90955912	1.028926325	0.219657285	1.02E-06	3.79E-06	yes	4238	11498	6302	11498
A6NIV6	ENSG00000188306	6	LRRIQ4	protein_coding	ensembl_havana	chr3:169821922-169837775:+	2.938892883	0.115133014	0.461593659	0.473040336	0.502404007	no	16130	18271	15793	18271	2.938892883	-0.160375181	0.594328543	0.449228478	0.300537617	no	16555	18271	15363	18271	2.938892883	0.104960905	0.520684612	0.605890968	0.357589688	no	18656	18271	15832	18656	2.938892883	1.678449204	1.212469668	0.001871286	0.003524329	yes	1127	18271	7872	18271	2.938892883	2.615512902	1.435354375	0.000121756	0.000222588	yes	337	18271	7506	18271
Q5T953	ENSG00000188483	8	IER5L	protein_coding	havana	chr9:129175552-129178261:-	172.4743205	1.459058358	0.118161038	1.74E-37	5.41E-36	yes	390	8167	796	8167	172.4743205	1.218464009	0.117826577	2.64E-26	3.28E-25	yes	1238	8167	2100	8167	172.4743205	0.503432493	0.118605505	9.33E-06	5.43E-05	yes	5997	8167	6607	8167	172.4743205	0.407060008	0.184800324	0.022948959	0.055967224	yes	12253	8167	10327	12253	172.4743205	-0.151553124	0.191690777	0.415183991	0.584354561	no	20034	8167	18473	20034
P05154	ENSG00000188488	14	SERPINA5	protein_coding	ensembl_havana	chr14:94561442-94593118:+	562.4955381	-0.284977844	0.055994188	2.07E-07	1.20E-06	yes	8879	3716	4463	8879	562.4955381	-0.463650234	0.057017421	2.22E-16	3.06E-15	yes	7679	3716	3319	7679	562.4955381	-0.550490173	0.057234797	2.50E-22	6.13E-21	yes	5212	3716	2173	5212	562.4955381	-2.144309937	0.142628671	1.98E-53	1.35E-51	yes	602	3716	1003	3716	562.4955381	-1.193860993	0.096007374	4.58E-36	1.38E-34	yes	3066	3716	1802	3716
Q14596	ENSG00000188554	14	NBR1	protein_coding	ensembl_havana	chr17:43170481-43211689:+	1554.834281	-0.869450051	0.057604115	1.51E-52	8.69E-51	yes	1529	1201	494	1529	1554.834281	-1.511712675	0.058948118	1.39E-146	5.20E-144	yes	631	1201	148	1201	1554.834281	-1.205124726	0.05843724	4.24E-96	1.09E-93	yes	1027	1201	239	1201	1554.834281	-0.730907557	0.073011552	8.12E-24	2.32E-22	yes	6624	1201	2226	6624	1554.834281	-0.1493964	0.064777651	0.020661242	0.134252517	no	20124	1201	12762	20124
Q07627	ENSG00000188581	9	KRTAP1-1	protein_coding	havana	chr17:41040541-41041450:-	151.3336647	-0.800311665	0.126429077	2.14E-11	1.71E-10	yes	1820	8599	3039	8599	151.3336647	-0.496013472	0.121639609	2.12E-05	9.32E-05	yes	7047	8599	7343	8599	151.3336647	0.475952707	0.111586872	9.43E-06	5.48E-05	yes	6498	8599	6614	8599	151.3336647	1.545696843	0.146439917	2.62E-27	4.92E-26	yes	1423	8599	1934	8599	151.3336647	1.055393657	0.146795991	2.34E-13	2.15E-12	yes	4032	8599	4161	8599
Q96N23	ENSG00000188596	11	CFAP54	protein_coding	havana	chr12:96489571-96875555:+	9.639186673	-0.350758636	0.446554089	0.104212257	0.147993424	no	7080	15268	11812	15268	9.639186673	0.053537631	0.397076255	0.83990881	0.630299821	no	22134	15268	19097	22134	9.639186673	0.186355068	0.381082429	0.447324034	0.348994142	no	14796	15268	15730	15730	9.639186673	3.259577186	0.639749983	2.78E-10	1.17E-09	yes	200	15268	4103	15268	9.639186673	2.445374262	0.651142503	2.27E-07	5.50E-07	yes	421	15268	5900	15268
A0PK00	ENSG00000188735	13	TMEM120B	protein_coding	ensembl_havana	chr12:121712752-121783001:+	288.1926569	-0.050292582	0.05743414	0.372243424	0.560078719	no	20819	6229	16413	20819	288.1926569	0.438989691	0.056261177	3.41E-15	4.44E-14	yes	8166	6229	3564	8166	288.1926569	0.42510252	0.056181451	2.21E-14	2.59E-13	yes	7503	6229	3281	7503	288.1926569	-1.226421221	0.16320725	1.04E-14	1.03E-13	yes	2550	6229	3235	6229	288.1926569	-2.121971091	0.192782585	3.56E-30	5.76E-29	yes	626	6229	2155	6229
Q5CZC0	ENSG00000188738	15	FSIP2	protein_coding	ensembl_havana	chr2:185738804-185833290:+	4.174194366	0.435370162	0.527406706	0.051495444	0.082176614	yes	5414	17341	10665	17341	4.174194366	0.297133549	0.516062124	0.272129726	0.211695208	no	11745	17341	14298	17341	4.174194366	0.665547727	0.606763752	0.023082745	0.028843832	yes	3755	17341	10433	17341	4.174194366	2.854995246	1.107428912	1.30E-05	3.22E-05	yes	284	17341	5991	17341	4.174194366	1.128501291	0.790805461	0.013962504	0.018448788	yes	3486	17341	9994	17341
Q86UR1	ENSG00000188747	8	NOXA1	protein_coding	ensembl_havana	chr9:137423350-137434406:+	32.13263996	-1.042920411	0.180861542	2.40E-10	1.42E-09	yes	987	12704	3310	12704	32.13263996	-1.640891358	0.19579941	7.10E-19	3.82E-18	yes	489	12704	2869	12704	32.13263996	-1.323026985	0.189258353	6.19E-14	3.35E-13	yes	786	12704	3302	12704	32.13263996	-1.066596403	0.348556101	0.000526497	0.001285191	yes	3398	12704	7318	12704	32.13263996	-2.119686456	0.487620903	8.41E-08	2.61E-07	yes	629	12704	5750	12704
Q14872	ENSG00000188786	10	MTF1	protein_coding	ensembl_havana	chr1:37809574-37859592:-	678.0364757	0.963490678	0.053582756	1.55E-73	1.59E-71	yes	1205	3123	287	3123	678.0364757	0.834424171	0.054337418	4.72E-54	2.86E-52	yes	3077	3123	845	3123	678.0364757	0.635675493	0.054909892	1.36E-31	5.14E-30	yes	4128	3123	1405	4128	678.0364757	1.758771484	0.073561691	5.21E-128	9.73E-126	yes	1009	3123	339	3123	678.0364757	1.465988466	0.071475286	2.34E-94	1.52E-92	yes	1818	3123	585	3123
Q5MY95	ENSG00000188833	10	ENTPD8	protein_coding	ensembl_havana	chr9:137434364-137441816:-	15.77858785	-0.35814967	0.194497433	0.025997472	0.044108622	yes	6913	14185	9754	14185	15.77858785	-0.815569851	0.2201391	3.20E-05	6.42E-05	yes	3235	14185	7201	14185	15.77858785	-1.343759704	0.246753076	1.02E-09	4.14E-09	yes	743	14185	4422	14185	15.77858785	-1.541476904	0.789711421	0.001381667	0.002520874	yes	1434	14185	7663	14185	15.77858785	-1.38482112	0.516362778	0.000711726	0.00128862	yes	2131	14185	8239	14185
Q5VT40	ENSG00000188859	7	FAM78B	protein_coding	ensembl_havana	chr1:166057426-166167001:-	33.88972433	0.147100136	0.211908176	0.382560406	0.428128771	no	14399	12595	14988	14988	33.88972433	0.707795439	0.236742256	0.00060603	0.001111728	yes	4167	12595	8422	12595	33.88972433	1.706351471	0.22775986	1.18E-15	7.71E-15	yes	360	12595	3007	12595	33.88972433	0.75232693	0.390221988	0.024571095	0.03531041	yes	6355	12595	9729	12595	33.88972433	2.996565588	0.274977275	5.35E-32	4.17E-31	yes	250	12595	2008	12595
-	ENSG00000188897	9	AC099489.1	protein_coding	havana	chr16:11359845-11527245:-	67.94546307	2.087903723	0.154218703	5.29E-44	1.48E-42	yes	144	11020	633	11020	67.94546307	2.114773883	0.154960804	2.34E-45	5.80E-44	yes	201	11020	1094	11020	67.94546307	-0.14701765	0.166199425	0.338841141	0.393054638	no	16521	11020	16268	16521	67.94546307	-0.300720578	0.347071886	0.329401459	0.400690612	no	14923	11020	15078	15078	67.94546307	-0.536572269	0.338652058	0.080254735	0.114775919	no	10352	11020	12449	12449
Q5S007	ENSG00000188906	16	LRRK2	protein_coding	ensembl_havana	chr12:40196744-40369285:+	32.80972509	-0.77916668	0.198945683	6.84E-06	2.15E-05	yes	1925	12660	5251	12660	32.80972509	-1.635362548	0.237751321	7.61E-14	3.14E-13	yes	492	12660	3737	12660	32.80972509	-1.077558245	0.216888655	1.97E-08	7.26E-08	yes	1353	12660	4917	12660	32.80972509	0.468666839	0.283061323	0.073648609	0.119246415	no	10952	12660	11561	12660	32.80972509	1.0705575	0.230815098	1.16E-06	3.34E-06	yes	3911	12660	6273	12660
O75712	ENSG00000188910	8	GJB3	protein_coding	ensembl_havana	chr1:34781214-34786369:+	937.640714	1.242104914	0.055197023	4.08E-114	6.23E-112	yes	611	2224	136	2224	937.640714	1.455666192	0.054928619	3.30E-156	8.78E-154	yes	715	2224	131	2224	937.640714	0.954796247	0.055873344	6.78E-67	6.77E-65	yes	1813	2224	466	2224	937.640714	0.25848385	0.089170056	0.003501245	0.017995071	yes	16086	2224	9034	16086	937.640714	0.468227506	0.078168885	1.74E-09	1.63E-08	yes	11629	2224	5287	11629
Q5JTZ5	ENSG00000188959	9	C9orf152	protein_coding	ensembl_havana	chr9:110190048-110208189:-	7.827218177	-2.268667544	0.609276847	4.02E-07	1.49E-06	yes	112	15730	4518	15730	7.827218177	-1.863410333	0.55274533	2.44E-06	6.43E-06	yes	308	15730	6475	15730	7.827218177	-0.044375259	0.273691238	0.839458187	0.564472765	no	22452	15730	18307	22452	7.827218177	0.42857734	0.457081627	0.244353578	0.253929831	no	11797	15730	13454	15730	7.827218177	0.147632233	0.460640196	0.697718171	0.551330596	no	20195	15730	18118	20195
O60281	ENSG00000188994	13	ZNF292	protein_coding	ensembl_havana	chr6:87152833-87265943:+	636.2116803	0.197837104	0.078855142	0.009202107	0.027091351	yes	12027	3318	9215	12027	636.2116803	-0.066475908	0.080522163	0.397125165	0.930595537	no	21254	3318	20264	21254	636.2116803	-0.060307001	0.080590477	0.446224664	1	no	21318	3318	20400	21318	636.2116803	1.551374181	0.093326587	2.57E-63	1.01E-61	yes	1408	3318	842	3318	636.2116803	1.381659598	0.090615812	2.90E-53	1.13E-51	yes	2139	3318	1198	3318
O00483	ENSG00000189043	10	NDUFA4	protein_coding	ensembl_havana	chr7:10931943-10940153:-	742.9576777	-0.105058238	0.04806082	0.026724078	0.055184192	yes	16751	2851	10041	16751	742.9576777	0.122323808	0.048192254	0.010238395	0.042696177	yes	18281	2851	11281	18281	742.9576777	0.32059571	0.047600806	1.21E-11	1.44E-10	yes	10143	2851	3956	10143	742.9576777	-1.02063045	0.09811624	8.17E-26	2.77E-24	yes	3723	2851	2055	3723	742.9576777	-1.807303561	0.108915451	3.41E-63	1.86E-61	yes	1001	2851	991	2851
P0DN86	ENSG00000189052	7	CGB5	protein_coding	ensembl_havana	chr19:49043848-49045311:+	16.82049663	1.154845275	0.335995693	7.39E-06	2.32E-05	yes	752	14063	5274	14063	16.82049663	1.714312897	0.321606093	7.34E-10	2.17E-09	yes	423	14063	4838	14063	16.82049663	2.370340592	0.31534179	9.04E-17	4.00E-16	yes	89	14063	2778	14063	16.82049663	-0.156246736	0.591403556	0.691788404	0.570792356	no	19558	14063	16945	19558	16.82049663	0.782467598	0.453407626	0.038162214	0.052218051	yes	6752	14063	11182	14063
P78509	ENSG00000189056	14	RELN	protein_coding	ensembl_havana	chr7:103471784-103989658:-	12.81035794	1.261759196	0.363077822	4.07E-06	1.34E-05	yes	586	14611	5114	14611	12.81035794	1.011522826	0.34215826	0.000225745	0.000411495	yes	2028	14611	7911	14611	12.81035794	0.024155764	0.301649348	0.916050314	0.600342289	no	24781	14611	18726	24781	12.81035794	1.645427535	0.489282133	2.21E-05	5.34E-05	yes	1189	14611	6139	14611	12.81035794	1.165465602	0.456030796	0.002130534	0.003290642	yes	3250	14611	8736	14611
Q9BXJ8	ENSG00000189077	11	TMEM120A	protein_coding	ensembl_havana	chr7:75986831-75994656:-	167.2654966	-0.212837669	0.068252713	0.001334172	0.004068766	yes	11359	8270	7534	11359	167.2654966	-0.261282184	0.069847487	0.000148721	0.000486657	yes	12796	8270	7992	12796	167.2654966	-0.507482674	0.071976051	7.79E-13	8.19E-12	yes	5928	8270	3608	8270	167.2654966	-1.378860523	0.199197121	4.63E-13	4.66E-12	yes	1934	8270	3542	8270	167.2654966	-1.570542487	0.183775739	1.18E-18	1.39E-17	yes	1492	8270	3243	8270
Q68CP9	ENSG00000189079	17	ARID2	protein_coding	ensembl_havana	chr12:45729706-45908040:+	350.9211351	-0.37916291	0.083735309	2.22E-06	1.54E-05	yes	6473	5471	5148	6473	350.9211351	-0.471735419	0.085373951	1.67E-08	1.46E-07	yes	7516	5471	5589	7516	350.9211351	-0.019654759	0.08066813	0.804119727	1	no	25706	5471	20400	25706	350.9211351	1.487573935	0.106238584	1.07E-45	3.89E-44	yes	1581	5471	1169	5471	350.9211351	2.347868591	0.087229172	3.88E-162	6.08E-160	yes	470	5471	244	5471
Q8NB42	ENSG00000189164	15	ZNF527	protein_coding	ensembl_havana	chr19:37371061-37393066:+	54.77451046	0.512462008	0.161305046	0.000304646	0.001084514	yes	4294	11505	6777	11505	54.77451046	0.205726924	0.160209137	0.167212696	0.2938999	no	14736	11505	15300	15300	54.77451046	-0.01692909	0.161462594	0.91018193	0.853714724	no	27537	11505	20118	27537	54.77451046	1.468898744	0.2270305	7.03E-12	4.13E-11	yes	1643	11505	3733	11505	54.77451046	0.638515205	0.241958643	0.005542471	0.010473772	yes	8670	11505	9525	11505
Q9HCL0	ENSG00000189184	11	PCDH18	protein_coding	ensembl_havana	chr4:137518918-137532494:-	9.514377704	-1.63957892	0.783208852	8.95E-05	0.000242929	yes	284	15300	6094	15300	9.514377704	-1.033176676	0.508896087	0.002122795	0.003352583	yes	1924	15300	9027	15300	9.514377704	-0.132358352	0.318074196	0.572248631	0.412283689	no	17226	15300	16499	17226	9.514377704	1.563975867	0.496088318	6.18E-05	0.000142269	yes	1376	15300	6438	15300	9.514377704	1.555643624	0.449186962	3.53E-05	6.59E-05	yes	1532	15300	7079	15300
Q5XKL5	ENSG00000189195	14	BTBD8	protein_coding	ensembl_havana	chr1:92080305-92184725:+	78.91678553	-1.390782205	0.130517403	7.73E-29	1.24E-27	yes	438	10652	1110	10652	78.91678553	-2.128736752	0.15405222	2.07E-46	5.10E-45	yes	196	10652	1057	10652	78.91678553	-1.107318287	0.125901064	3.58E-20	2.71E-19	yes	1266	10652	2353	10652	78.91678553	-0.168586532	0.209202841	0.40123854	0.532984587	no	19103	10652	16511	19103	78.91678553	0.968918442	0.14312432	5.49E-12	2.63E-11	yes	4736	10652	4420	10652
P21397	ENSG00000189221	9	MAOA	protein_coding	ensembl_havana	chrX:43654907-43746824:+	76.64434829	-0.476860724	0.102750585	8.17E-07	3.12E-06	yes	4750	10726	4712	10726	76.64434829	-0.797689653	0.108756085	3.68E-14	2.66E-13	yes	3381	10726	3717	10726	76.64434829	-1.508728304	0.123021544	4.42E-36	6.72E-35	yes	537	10726	1155	10726	76.64434829	-0.58448187	0.221198814	0.005620629	0.012061332	yes	8814	10726	8723	10726	76.64434829	-0.217846099	0.175987625	0.204201926	0.292441933	no	17811	10726	14784	17811
P49789	ENSG00000189283	10	FHIT	protein_coding	ensembl_havana	chr3:59747277-61251459:-	42.6177317	0.048619112	0.133155462	0.687257636	0.675499427	no	20974	12076	17700	20974	42.6177317	-0.386426032	0.149060246	0.005801133	0.015139479	yes	9338	12076	10125	12076	42.6177317	-0.941501608	0.16715424	8.08E-10	3.29E-09	yes	1886	12076	4388	12076	42.6177317	-1.630488045	0.489548868	2.62E-05	7.72E-05	yes	1215	12076	6230	12076	42.6177317	-0.585664635	0.267951386	0.020155821	0.034110401	yes	9500	12076	10636	12076
Q6MZP7	ENSG00000189308	11	LIN54	protein_coding	ensembl_havana	chr4:82909973-83012926:-	182.9320347	-0.134476525	0.093902672	0.131853849	0.256302835	no	15053	7970	13193	15053	182.9320347	-0.063960479	0.09555987	0.489719992	0.7940582	no	21407	7970	19960	21407	182.9320347	0.250322017	0.092779428	0.00570847	0.023826454	yes	12332	7970	10207	12332	182.9320347	1.343493857	0.135478022	4.37E-24	6.66E-23	yes	2071	7970	2176	7970	182.9320347	1.878019698	0.112421706	4.04E-64	1.05E-62	yes	878	7970	972	7970
P0C671	ENSG00000189325	7	BNIP5	protein_coding	ensembl_havana	chr6:36315761-36336888:-	20.35650616	-3.695090551	0.511003161	7.89E-16	7.13E-15	yes	9	13646	2188	13646	20.35650616	-3.62244061	0.498604371	3.34E-15	1.49E-14	yes	13	13646	3458	13646	20.35650616	-3.38657278	0.477002997	1.60E-15	1.02E-14	yes	17	13646	3026	13646	20.35650616	0.550711149	0.324375014	0.059760107	0.077355971	yes	9407	13646	10798	13646	20.35650616	1.191396522	0.270024272	2.50E-06	5.81E-06	yes	3077	13646	6414	13646
Q6UXB2	ENSG00000189377	9	CXCL17	protein_coding	ensembl_havana	chr19:42428278-42442946:-	27.19393946	-0.326693459	0.144686497	0.011099093	0.020670753	yes	7665	13051	8886	13051	27.19393946	-0.448075884	0.150389658	0.001508307	0.002443743	yes	7999	13051	8850	13051	27.19393946	-1.177908902	0.175721886	4.78E-13	2.46E-12	yes	1097	13051	3478	13051	27.19393946	-2.328625962	0.93940066	4.18E-05	0.000117371	yes	476	13051	6361	13051	27.19393946	-2.39439479	0.72424505	1.61E-06	4.56E-06	yes	445	13051	6351	13051
Q6ZV89	ENSG00000189410	12	SH2D5	protein_coding	ensembl_havana	chr1:20719731-20732837:-	118.7217807	0.491110689	0.107176455	1.02E-06	3.73E-06	yes	4555	9435	4753	9435	118.7217807	1.459753194	0.101148318	1.07E-48	3.42E-47	yes	711	9435	996	9435	118.7217807	1.475100026	0.10116469	1.22E-49	4.20E-48	yes	571	9435	717	9435	118.7217807	0.201361375	0.211690644	0.321271251	0.385115706	no	17924	9435	14901	17924	118.7217807	-0.424659361	0.227300464	0.051090066	0.077295759	yes	12570	9435	11767	12570
A6NK89	ENSG00000189431	8	RASSF10	protein_coding	ensembl_havana	chr11:13009316-13012119:+	175.1979746	1.786194957	0.109009678	5.68E-63	3.55E-61	yes	222	8116	367	8116	175.1979746	1.912444709	0.108323897	3.08E-72	1.79E-70	yes	276	8116	558	8116	175.1979746	1.071171049	0.113805752	1.29E-22	1.92E-21	yes	1375	8116	2117	8116	175.1979746	1.945040573	0.156069632	1.12E-37	2.87E-36	yes	780	8116	1419	8116	175.1979746	1.481181136	0.154941876	1.47E-22	1.36E-21	yes	1774	8116	2727	8116
Q9NTQ9	ENSG00000189433	7	GJB4	protein_coding	ensembl_havana	chr1:34759740-34762327:+	90.53632801	0.090463743	0.102900023	0.350619687	0.50822448	no	17680	10277	15851	17680	90.53632801	0.395143503	0.10506028	0.000104228	0.000425702	yes	9132	10277	7924	10277	90.53632801	0.440474834	0.104210854	1.26E-05	4.78E-05	yes	7189	10277	6553	10277	90.53632801	-1.52868342	0.355790124	8.79E-07	3.06E-06	yes	1471	10277	5378	10277	90.53632801	-0.464854692	0.207488878	0.020211985	0.039601876	yes	11697	10277	10806	11697
Q8NHU6	ENSG00000196116	8	TDRD7	protein_coding	ensembl_havana	chr9:97412096-97496125:+	546.3859633	0.142751452	0.075998961	0.052021365	0.119204882	no	14616	3812	11340	14616	546.3859633	-0.017523934	0.077726425	0.817501948	1	no	27614	3812	20364	27614	546.3859633	-0.051407254	0.078343629	0.50459752	1	no	21913	3812	20400	21913	546.3859633	2.313833823	0.08765226	4.12E-156	1.03E-153	yes	484	3812	272	3812	546.3859633	1.877918801	0.087359904	5.74E-104	6.05E-102	yes	879	3812	494	3812
A1A4V9	ENSG00000196118	12	CCDC189	protein_coding	ensembl_havana	chr16:30757423-30762221:-	18.0430123	-1.046543128	0.265832934	1.90E-06	6.51E-06	yes	984	13904	4897	13904	18.0430123	-0.860533317	0.252217909	8.28E-05	0.000158075	yes	2889	13904	7505	13904	18.0430123	-0.437765721	0.222006721	0.022609661	0.037632869	yes	7246	13904	10741	13904	18.0430123	0.428312499	0.328452288	0.147289393	0.173428711	no	11805	13904	12379	13904	18.0430123	-1.494697799	0.663046179	0.001147755	0.002068406	yes	1722	13904	8491	13904
P42330	ENSG00000196139	14	AKR1C3	protein_coding	ensembl_havana	chr10:5035354-5107686:+	1519.881927	-0.622788743	0.049004048	7.71E-38	2.53E-36	yes	3112	1233	788	3112	1519.881927	-0.716635202	0.049205343	1.06E-48	3.36E-47	yes	4085	1233	995	4085	1519.881927	-1.906155659	0.051713763	2.56E-299	6.99E-296	yes	226	1233	21	1233	1519.881927	-2.160304019	0.088563093	8.73E-134	1.84E-131	yes	588	1233	330	1233	1519.881927	-0.644372312	0.060380731	9.70E-27	3.72E-25	yes	8597	1233	2430	8597
Q15937	ENSG00000196152	10	ZNF79	protein_coding	ensembl_havana	chr9:127424374-127445372:+	107.5003897	0.860046177	0.123449441	2.41E-13	1.68E-12	yes	1571	9773	2586	9773	107.5003897	0.897647498	0.124246992	6.00E-14	5.05E-13	yes	2662	9773	3784	9773	107.5003897	0.455817383	0.125905476	0.00014634	0.000483245	yes	6892	9773	7446	9773	107.5003897	2.48040282	0.15835608	5.32E-58	1.05E-56	yes	413	9773	908	9773	107.5003897	1.218411352	0.182536001	6.08E-12	2.46E-11	yes	2932	9773	4406	9773
Q6V0I7	ENSG00000196159	12	FAT4	protein_coding	ensembl_havana	chr4:125314955-125492931:+	318.9517353	-0.371915569	0.089716394	1.31E-05	6.06E-05	yes	6602	5845	5599	6602	318.9517353	-1.108254082	0.101593433	7.56E-29	1.79E-27	yes	1607	5845	1923	5845	318.9517353	-1.259353484	0.104701915	6.37E-35	2.98E-33	yes	896	5845	1246	5845	318.9517353	1.953820529	0.106691336	5.86E-77	3.78E-75	yes	771	5845	658	5845	318.9517353	2.699293823	0.090394308	8.33E-200	1.72E-197	yes	307	5845	169	5845
